date,state,confirmed,deaths
2020-03-14,Bolivar,1,0
2020-03-14,Boyaca,0,0
2020-03-14,Caldas,0,0
2020-03-14,Caqueta,0,0
2020-03-14,Casanare,0,0
2020-03-14,Cauca,0,0
2020-03-14,Cesar,0,0
2020-03-14,Choco,0,0
2020-03-14,Cordoba,0,0
2020-03-14,Cundinamarca,0,0
2020-03-14,Guainia,0,0
2020-03-14,Guaviare,0,0
2020-03-14,Huila,2,0
2020-03-14,La Guajira,0,0
2020-03-14,Magdalena,0,0
2020-03-14,Meta,1,0
2020-03-14,Narino,0,0
2020-03-14,Norte de Santander,0,0
2020-03-14,Putumayo,0,0
2020-03-14,Quindio,0,0
2020-03-14,Risaralda,0,0
2020-03-14,San Andres y Providencia,0,0
2020-03-14,Santander,0,0
2020-03-14,Sucre,0,0
2020-03-14,Tolima,0,0
2020-03-14,Valle del Cauca,2,0
2020-03-14,Vaupes,0,0
2020-03-14,Vichada,0,0
2020-03-15,Bogota,19,0
2020-03-15,Amazonas,0,0
2020-03-15,Antioquia,8,0
2020-03-15,Arauca,0,0
2020-03-15,Atlantico,0,0
2020-03-15,Bolivar,3,0
2020-03-15,Boyaca,0,0
2020-03-15,Caldas,1,0
2020-03-15,Caqueta,0,0
2020-03-15,Casanare,0,0
2020-03-15,Cauca,0,0
2020-03-15,Cesar,0,0
2020-03-15,Choco,0,0
2020-03-15,Cordoba,0,0
2020-03-15,Cundinamarca,1,0
2020-03-15,Guainia,0,0
2020-03-15,Guaviare,0,0
2020-03-15,Huila,7,0
2020-03-15,La Guajira,0,0
2020-03-15,Magdalena,0,0
2020-03-15,Meta,1,0
2020-03-15,Narino,0,0
2020-03-15,Norte de Santander,1,0
2020-03-15,Putumayo,0,0
2020-03-15,Quindio,0,0
2020-03-15,Risaralda,1,0
2020-03-15,San Andres y Providencia,0,0
2020-03-15,Santander,0,0
2020-03-15,Sucre,0,0
2020-03-15,Tolima,0,0
2020-03-15,Valle del Cauca,3,0
2020-03-15,Vaupes,0,0
2020-03-15,Vichada,0,0
2020-03-16,Bogota,31,0
2020-03-16,Amazonas,0,0
2020-03-16,Antioquia,8,0
2020-03-16,Arauca,0,0
2020-03-16,Atlantico,0,0
2020-03-16,Bolivar,3,0
2020-03-16,Boyaca,0,0
2020-03-16,Caldas,1,0
2020-03-16,Caqueta,0,0
2020-03-16,Casanare,0,0
2020-03-16,Cauca,0,0
2020-03-16,Cesar,0,0
2020-03-16,Choco,0,0
2020-03-16,Cordoba,0,0
2020-03-16,Cundinamarca,1,0
2020-03-16,Guainia,0,0
2020-03-16,Guaviare,0,0
2020-03-16,Huila,7,0
2020-03-16,La Guajira,0,0
2020-03-16,Magdalena,0,0
2020-03-16,Meta,1,0
2020-03-16,Narino,0,0
2020-03-16,Norte de Santander,1,0
2020-03-16,Putumayo,0,0
2020-03-16,Quindio,0,0
2020-03-16,Risaralda,1,0
2020-03-16,San Andres y Providencia,0,0
2020-03-16,Santander,0,0
2020-03-16,Sucre,0,0
2020-03-16,Tolima,0,0
2020-03-16,Valle del Cauca,3,0
2020-03-16,Vaupes,0,0
2020-03-16,Vichada,0,0
2020-03-17,Bogota,40,0
2020-03-17,Amazonas,0,0
2020-03-17,Antioquia,8,0
2020-03-17,Arauca,0,0
2020-03-17,Atlantico,2,0
2020-03-17,Bolivar,5,0
2020-03-17,Boyaca,0,0
2020-03-17,Caldas,1,0
2020-03-17,Caqueta,0,0
2020-03-17,Casanare,0,0
2020-03-17,Cauca,0,0
2020-03-17,Cesar,0,0
2020-03-17,Choco,0,0
2020-03-17,Cordoba,0,0
2020-03-17,Cundinamarca,1,0
2020-03-17,Guainia,0,0
2020-03-17,Guaviare,0,0
2020-03-17,Huila,7,0
2020-03-17,La Guajira,0,0
2020-03-17,Magdalena,0,0
2020-03-17,Meta,1,0
2020-03-17,Narino,0,0
2020-03-17,Norte de Santander,3,0
2020-03-17,Putumayo,0,0
2020-03-17,Quindio,0,0
2020-03-17,Risaralda,1,0
2020-03-17,San Andres y Providencia,0,0
2020-03-17,Santander,1,0
2020-03-17,Sucre,0,0
2020-03-17,Tolima,0,0
2020-03-17,Valle del Cauca,5,0
2020-03-17,Vaupes,0,0
2020-03-17,Vichada,0,0
2020-03-18,Bogota,45,0
2020-03-18,Amazonas,0,0
2020-03-18,Antioquia,8,0
2020-03-18,Arauca,0,0
2020-03-18,Atlantico,2,0
